name,district,price,bedroom,wc,acreage,link,date
"Bán Nhà Bình Thạnh - Sát MT HXH - DT 5,2 x 15 - Không QH - Chỉ 6.x Ty","Quận Bình Thạnh, TPHCM",6 tỷ 500 triệu,3 PN,2 WC,78 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/ban-nha-binh-thanh-sat-mt-hxh-dt-5-2-x-15-khong-qh-chi-6-x-ty-id22569410,2024-06-01
"Trần Bình Trọng - Bình Thạnh - Sát MT HXH - DT 5,2 x 14 - Nhỉnh 6 Tỷ","Quận Bình Thạnh, TPHCM",6 tỷ 500 triệu,3 PN,2 WC,70 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/tran-binh-trong-binh-thanh-sat-mt-hxh-dt-5-2-x-14-nhinh-6-ty-id22569416,2024-06-01
"Phan Đăng Lưu - Bình Thạnh - Hẻm Ba Gác Thông - DT 5,2 x 14 Nhỉnh 6 TỶ","Quận Bình Thạnh, TPHCM",6 tỷ 500 triệu,3 PN,2 WC,70 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/phan-dang-luu-binh-thanh-hem-ba-gac-thong-dt-5-2-x-14-nhinh-6-ty-id22569427,2024-06-01
"Nhà 4 tầng rộng mát, cạnh Coopmart Trường Chinh. 4.95 tỷ","Quận Tân Bình, TPHCM",4 tỷ 950 triệu,4 PN,4 WC,40 m2,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/nha-4-tang-rong-mat-canh-coopmart-truong-chinh-4-95-ty-id22569467,2024-06-01
"Ra nhanh nhà Lãnh Binh Thăng Phường 12 Quận 11,48m2/2 tỷ190tr,SHR","Quận 11, TPHCM",2 tỷ 190 triệu,5 PN,4 WC,58 m2,https://mogi.vn/quan-11/mua-nha-mat-tien-pho/ra-nhanh-nha-lanh-binh-thang-phuong-12-quan-11-48m2-2-ty190tr-shr-id22569465,2024-06-01
"Siêu phẩm nhà HXH Đ.Vạn Kiếp,KP6, Bình Thạnh,80m2,2Tỷ 780 triệu,SHR","Quận Bình Thạnh, TPHCM",2 tỷ 780 triệu,4 PN,4 WC,80 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/sieu-pham-nha-hxh-d-van-kiep-kp6-binh-thanh-80m2-2ty-780-trieu-shr-id22569452,2024-06-01
"Đường xe tải thông - hơn 141m2, ngang khủng 7m - gần chợ minh phát","Quận 12, TPHCM",5 tỷ 190 triệu,3 PN,2 WC,141 m2,https://mogi.vn/quan-12/mua-nha-hem-ngo/duong-xe-tai-thong-hon-141m2-ngang-khung-7m-gan-cho-minh-phat-id22569327,2024-06-01
"THU Nhập 75tr/ đường Nam Kỳ khởi Nghĩa , P8, Q 3 DT 52m2 giá 10tỷ3 SHR","Quận 3, TPHCM",10 tỷ 300 triệu,9 PN,10 WC,52 m2,https://mogi.vn/quan-3/mua-nha-hem-ngo/thu-nhap-75tr-duong-nam-ky-khoi-nghia-p8-q-3-dt-52m2-gia-10ty3-shr-id22569449,2024-06-01
"Mặt tiền kinh doanh ngay sân bay - 130m2, ngang 5m hiếm, 3 tầng - sẵn","Quận Tân Bình, TPHCM",24 tỷ 800 triệu,5 PN,6 WC,130 m2,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/mat-tien-kinh-doanh-ngay-san-bay-130m2-ngang-5m-hiem-3-tang-san-id22569346,2024-06-01
"Chủ ngộp tiền bán gấp nhà Tạ Uyên Phường 4 Quận 11.2 tỷ1/59m2,SHR","Quận 11, TPHCM",2 tỷ 100 triệu,4 PN,4 WC,59 m2,https://mogi.vn/quan-11/mua-nha-mat-tien-pho/chu-ngop-tien-ban-gap-nha-ta-uyen-phuong-4-quan-11-2-ty1-59m2-shr-id22569445,2024-06-01
