name,district,price,bedroom,wc,acreage,link,date
"Bán Nhà HXH 52m2 Giá 5,5 Tỷ  Bình Thạnh Phan Văn Trị","Quận Bình Thạnh, TPHCM",5 tỷ 500 triệu,3 PN,3 WC,50 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/ban-nha-hxh-52m2-gia-5-5-ty-binh-thanh-phan-van-tri-id22568226,2024-05-30
"Nhà SHR đường Thạnh Lộc gần Chợ Cầu Đồng, 45m2, 2 tầng giá chỉ 3.79tỷ.","Quận 12, TPHCM",3 tỷ 790 triệu,3 PN,2 WC,33 m2,https://mogi.vn/quan-12/mua-nha-hem-ngo/nha-shr-duong-thanh-loc-gan-cho-cau-dong-45m2-2-tang-gia-chi-3-79ty-id22568569,2024-05-30
"Nhà HXH 4m Thạnh Lộc 29 gần Chợ Cầu Đồng 48m, 2 tầng.","Quận 12, TPHCM",3 tỷ 680 triệu,4 PN,3 WC,161 m2,https://mogi.vn/quan-12/mua-nha-hem-ngo/nha-hxh-4m-thanh-loc-29-gan-cho-cau-dong-48m-2-tang-id22568562,2024-05-30
"bán gấp nhà HXT tới nhà, Phan Văn Trị P.11 BT 32m2, 2PN, chỉ 4 tỷ2","Quận Bình Thạnh, TPHCM",4 tỷ 200 triệu,9 PN,9 WC,200 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/ban-gap-nha-hxt-toi-nha-phan-van-tri-p-11-bt-32m2-2pn-chi-4-ty2-id22568545,2024-05-30
"Bán Nhà Mặt Tiền Hoàng Sa, Quận 1. DT: 5,3mx13m. 3 lầu. Giá 24 tỷ","Quận 1, TPHCM",24 tỷ,32 PN,32 WC,200 m2,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-nha-mat-tien-hoang-sa-quan-1-dt-5-3mx13m-3-lau-gia-24-ty-id22568352,2024-05-30
"Bán nhà góc 2 mặt tiền Lê Văn Sỹ P14 Quận 3, DT: 5x18m, 1 trệt 2 lầu","Quận 3, TPHCM",24 tỷ 500 triệu,5 PN,5 WC,100 m2,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/ban-nha-goc-2-mat-tien-le-van-sy-p14-quan-3-dt-5x18m-1-tret-2-lau-id22568354,2024-05-30
"Cần bán nhà MT 2 chiều Hoàng Sa, Q.3 - 7 tầng view sông (có thang máy)","Quận 3, TPHCM",25 tỷ,10 PN,5 WC,88 m2,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/can-ban-nha-mt-2-chieu-hoang-sa-q-3-7-tang-view-song-co-thang-may-id22568353,2024-05-30
Bán gấp nhà 2 Mặt tiền Hồ Con Rùa 14x10m 5 tầng HĐT 125tr/th 27.5 tỷ,"Quận 3, TPHCM",27 tỷ 500 triệu,1 PN,1 WC,67 m2,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/ban-gap-nha-2-mat-tien-ho-con-rua-14x10m-5-tang-hdt-125tr-th-27-5-ty-id22568363,2024-05-30
"Mặt tiền Nguyễn Đình Chiều, Q3 - DT: 5.2x23m - 5 tầng - TN 250 tr/th","Quận 3, TPHCM",42 tỷ,22 PN,21 WC,105 m2,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/mat-tien-nguyen-dinh-chieu-q3-dt-5-2x23m-5-tang-tn-250-tr-th-id22568355,2024-05-30
"Mặt Tiền Quận 1. Trần Nhật Duật- Trần Khánh Dư. DT: 7,8mx25m. 62 tỷ","Quận 1, TPHCM",62 tỷ,4 PN,5 WC,42 m2,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/mat-tien-quan-1-tran-nhat-duat-tran-khanh-du-dt-7-8mx25m-62-ty-id22568365,2024-05-30
"Bán Biệt Thự Lê Văn Sỹ, Phường 14, Quận 3. DT: 9mx20m. 4 Tầng","Quận 3, TPHCM",44 tỷ 500 triệu,5 PN,4 WC,67 m2,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/ban-biet-thu-le-van-sy-phuong-14-quan-3-dt-9mx20m-4-tang-id22568366,2024-05-30
"Siêu Vị Trí. Mặt Tiền Nguyễn Văn Trỗi. Ngang 7,5m. Ngân Hàng Đang Thuê","Quận Phú Nhuận, TPHCM",60 tỷ,5 PN,5 WC,170 m2,https://mogi.vn/quan-phu-nhuan/mua-nha-mat-tien-pho/sieu-vi-tri-mat-tien-nguyen-van-troi-ngang-7-5m-ngan-hang-dang-thue-id22568367,2024-05-30
"Bán nhanh nhà MT đường Cách Mạng Tháng 8, P.15, Q. 10 DT 19x42m, 275tỷ","Quận 10, TPHCM",275 tỷ,5 PN,5 WC,70 m2,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/ban-nhanh-nha-mt-duong-cach-mang-thang-8-p-15-q-10-dt-19x42m-275ty-id22568369,2024-05-30
"Tuyệt phẩm 3 lầu full NT Nguyễn Thượng Hiền, Bình Thạnh 56m2 3TY7 SHR","Quận Bình Thạnh, TPHCM",3 tỷ 700 triệu,4 PN,5 WC,85 m2,https://mogi.vn/quan-binh-thanh/mua-nha-mat-tien-pho/tuyet-pham-3-lau-full-nt-nguyen-thuong-hien-binh-thanh-56m2-3ty7-shr-id22568535,2024-05-30
"Bán gấp tòa nhà 4 tầng ngay đường Cao Thắng, P.12, Q.10 DT 16,5x54m","Quận 10, TPHCM",180 tỷ,6 PN,7 WC,220 m2,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/ban-gap-toa-nha-4-tang-ngay-duong-cao-thang-p-12-q-10-dt-16-5x54m-id22568371,2024-05-30
"Bán gấp tòa nhà 4 tầng ngay đường Cao Thắng, P.12, Q.10 DT 16,5x54m","Quận 10, TPHCM",180 tỷ,4 PN,3 WC,161 m2,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/ban-gap-toa-nha-4-tang-ngay-duong-cao-thang-p-12-q-10-dt-16-5x54m-id22568371,2024-05-30
Hạ giá 15 tỷ bán nhanh đất trung Tâm Quận 1 DT 18x20m DTCN 399m2,"Quận 1, TPHCM",86 tỷ,3 PN,4 WC,36 m2,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ha-gia-15-ty-ban-nhanh-dat-trung-tam-quan-1-dt-18x20m-dtcn-399m2-id22568370,2024-05-30
Chuyển nhượng gấp tòa VP Hầm + 8 tầng sát góc Nguyễn Văn Cừ đoạn đẹp,"Quận 5, TPHCM",170 tỷ,4 PN,3 WC,161 m2,https://mogi.vn/quan-5/mua-nha-mat-tien-pho/chuyen-nhuong-gap-toa-vp-ham-8-tang-sat-goc-nguyen-van-cu-doan-dep-id22568372,2024-05-30
"Bán gấp biệt thự MT Nguyễn Văn Hưởng, P Thảo Điền Quận 2. DT 18x20m","Quận 2 (TP. Thủ Đức), TPHCM",98 tỷ,1 PN,1 WC,180 m2,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/ban-gap-biet-thu-mt-nguyen-van-huong-p-thao-dien-quan-2-dt-18x20m-id22568375,2024-05-30
"Bán gấp tòa nhà 4 tầng ngay đường Cao Thắng, Quận 10 DT 16,5x54m","Quận 10, TPHCM",180 tỷ,7 PN,14 WC,300 m2,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/ban-gap-toa-nha-4-tang-ngay-duong-cao-thang-quan-10-dt-16-5x54m-id22568374,2024-05-30
TÒA NHÀ Khu Nhà Ga T3 Nguyễn Quang Bích Hầm 11 tầng - Q.Tân Bình,"Quận Tân Bình, TPHCM",118 tỷ,6 PN,7 WC,68 m2,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/toa-nha-khu-nha-ga-t3-nguyen-quang-bich-ham-11-tang-q-tan-binh-id22568489,2024-05-30
"Tòa nhà CHDV TRẦN QUỐC THẢO, Q3. Ngang trên 8m. HĐT: 145TR/T","Quận 3, TPHCM",36 tỷ 500 triệu,4 PN,5 WC,78 m2,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/toa-nha-chdv-tran-quoc-thao-q3-ngang-tren-8m-hdt-145tr-t-id22568491,2024-05-30
"Bán nhà HXH tới cửa Phan Xích Long, P.5, Phú Nhuận 64m2/3TY6 thuê 16tr","Quận Phú Nhuận, TPHCM",3 tỷ 599 triệu,4 PN,3 WC,161 m2,https://mogi.vn/quan-phu-nhuan/mua-nha-mat-tien-pho/ban-nha-hxh-toi-cua-phan-xich-long-p-5-phu-nhuan-64m2-3ty6-thue-16tr-id22568530,2024-05-30
"Bán tòa MT Nguyễn Văn Đậu, Bình Thạnh - DT 9x35m, hầm + 8 tầng","Quận Bình Thạnh, TPHCM",80 tỷ,3 PN,3 WC,50 m2,https://mogi.vn/quan-binh-thanh/mua-nha-mat-tien-pho/ban-toa-mt-nguyen-van-dau-binh-thanh-dt-9x35m-ham-8-tang-id22568493,2024-05-30
"Cần bán gấp nhà MT HXH 10m 165 Nguyễn Thái Bình, P.Nguyễn Thái Bình Q1","Quận 1, TPHCM",31 tỷ,5 PN,5 WC,83 m2,https://mogi.vn/quan-1/mua-nha-hem-ngo/can-ban-gap-nha-mt-hxh-10m-165-nguyen-thai-binh-p-nguyen-thai-binh-q1-id22568495,2024-05-30
"Siêu phẩm! Nam Kỳ Khởi Nghĩa, Quận 3. DT: 8x15m, 3 tầng. Giá 24 tỷ","Quận 3, TPHCM",24 tỷ,4 PN,3 WC,161 m2,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/sieu-pham-nam-ky-khoi-nghia-quan-3-dt-8x15m-3-tang-gia-24-ty-id22568497,2024-05-30
"Bán nhà đường Nguyễn Bỉnh Khiêm P.ĐaKao Q1_DT:9x14m, 4 tầng, 34.5 tỷ","Quận 1, TPHCM",34 tỷ 500 triệu,4 PN,4 WC,312 m2,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-nha-duong-nguyen-binh-khiem-p-dakao-q1-dt-9x14m-4-tang-34-5-ty-id22568496,2024-05-30
"Bán biệt thự góc 2 mặt tiền LAM SƠN, Bình Thạnh.DT: 7x 15m, GPXD 4 lầu","Quận Bình Thạnh, TPHCM",28 tỷ,4 PN,3 WC,182 m2,https://mogi.vn/quan-binh-thanh/mua-nha-biet-thu-lien-ke/ban-biet-thu-goc-2-mat-tien-lam-son-binh-thanh-dt-7x-15m-gpxd-4-lau-id22568500,2024-05-30
"Bán Nhà MT Hoàng Hoa Thám Phường 6 Bình Thạnh.DT:5x12m,NH:12m","Quận Bình Thạnh, TPHCM",26 tỷ,7 PN,7 WC,134 m2,https://mogi.vn/quan-binh-thanh/mua-nha-mat-tien-pho/ba-n-nha-mt-hoa-ng-hoa-tha-m-phuo-ng-6-bi-nh-tha-nh-dt-5x12m-nh-12m-id22568503,2024-05-30
"Bán MT D2, P25, Quận Bình Thạnh - DT: 10mx20m - GPXD: Hầm 7 tầng","Quận Bình Thạnh, TPHCM",62 tỷ,10 PN,5 WC,88 m2,https://mogi.vn/quan-binh-thanh/mua-nha-mat-tien-pho/ban-mt-d2-p25-quan-binh-thanh-dt-10mx20m-gpxd-ham-7-tang-id22568504,2024-05-30
