name,district,price,bedroom,wc,acreage,link,date
Tòa nhà Hầm 6 tầng NHẬN DIỆN THƯƠNG HIỆU - Tân Định - Quận 1. 38 tỷ,"Quận 1, TPHCM",38 tỷ,6 PN,5 WC,102 m2,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/toa-nha-ham-6-tang-nhan-dien-thuong-hieu-tan-dinh-quan-1-38-ty-id22570643,2024-06-03
"Bán nhà mặt tiền Phú Nhuận 1T3L 5,5x18m giá 25 tỷ đang cho thuê 85tr","Quận Phú Nhuận, TPHCM",25 tỷ,6 PN,6 WC,60 m2,https://mogi.vn/quan-phu-nhuan/mua-nha-mat-tien-pho/ban-nha-mat-tien-phu-nhuan-1t3l-5-5x18m-gia-25-ty-dang-cho-thue-85tr-id22570611,2024-06-03
"CĂN NHÀ BÁN RẤT RẺ -ngay Nguyễn Hoàng - An Phú - Quận 2. 5x20. 16,5 TỶ","Quận 2 (TP. Thủ Đức), TPHCM",16 tỷ,3 PN,2 WC,52 m2,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/can-nha-ban-rat-re-ngay-nguyen-hoang-an-phu-quan-2-5x20-16-5-ty-id22570632,2024-06-03
"Bán nhà hẻm xe tải 1T3L, Dương Đình Hội, PLB 68m2 công nhận.","Quận 9 (TP. Thủ Đức), TPHCM",8 tỷ 300 triệu,4 PN,5 WC,90 m2,https://mogi.vn/quan-9/mua-nha-mat-tien-pho/ban-nha-hem-xe-tai-1t3l-duong-dinh-hoi-plb-68m2-cong-nhan-id22569787,2024-06-03
"Bán nhà Đỗ Xuân Hợp, Phước Long B, 110m2, chỉ 8.2 tỷ.","Quận 9 (TP. Thủ Đức), TPHCM",8 tỷ 200 triệu,4 PN,5 WC,58 m2,https://mogi.vn/quan-9/mua-nha-hem-ngo/ban-nha-do-xuan-hop-phuoc-long-b-110m2-chi-8-2-ty-id22569548,2024-06-03
"Mặt tiền 339, Phước Long B, 90m2, 5x18, chỉ 8.2 tỷ.","Quận 9 (TP. Thủ Đức), TPHCM",8 tỷ 200 triệu,4 PN,4 WC,78 m2,https://mogi.vn/quan-9/mua-nha-mat-tien-pho/mat-tien-339-phuoc-long-b-90m2-5x18-chi-8-2-ty-id22569543,2024-06-03
"Bán nhà 4 tầng Đỗ Xuân Hợp, Phước Long B, 60m2.","Quận 9 (TP. Thủ Đức), TPHCM",9 tỷ,4 PN,5 WC,60 m2,https://mogi.vn/quan-9/mua-nha-hem-ngo/ban-nha-4-tang-do-xuan-hop-phuoc-long-b-60m2-id22569539,2024-06-03
"Dãy trọ Mặt tiền ngang khủng 8.1m, Đình Phong Phú, 203m2, chỉ 12.6 Tỷ","Quận 9 (TP. Thủ Đức), TPHCM",13 tỷ,3 PN,1 WC,110 m2,https://mogi.vn/quan-9/mua-nha-mat-tien-pho/day-tro-mat-tien-ngang-khung-8-1m-dinh-phong-phu-203m2-chi-12-6-ty-id22569534,2024-06-03
"Chưa đến 40tr/m2, 190m2, 7.5 tỷ, Đỗ Xuân Hợp, Phước Long B.","Quận 9 (TP. Thủ Đức), TPHCM",7 tỷ 500 triệu,5 PN,5 WC,85 m2,https://mogi.vn/quan-9/mua-nha-hem-ngo/chua-den-40tr-m2-190m2-7-5-ty-do-xuan-hop-phuoc-long-b-id22569533,2024-06-03
"ĐẲNG CẤP SỐNG THƯỢNG LƯU - Bán Villa Thảo Điền, Q2. DT: 900m2. 100 tỷ","Quận 2 (TP. Thủ Đức), TPHCM",100 tỷ,5 PN,7 WC,180 m2,https://mogi.vn/quan-2/mua-nha-biet-thu-lien-ke/dang-cap-song-thuong-luu-ban-villa-thao-dien-q2-dt-900m2-100-ty-id22570623,2024-06-03
💦 Nhà Gía Rẻ Diện Tích Khủng💦Đường Số 14 Quang Trung p8💦5x15m 3 Lầu,"Quận Gò Vấp, TPHCM",6 tỷ 700 triệu,3 PN,4 WC,54 m2,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/nha-gia-re-dien-tich-khung-duong-so-14-quang-trung-p8-5x15m-3-lau-id22570604,2024-06-03
"Hẻm oto 131m2(8x17m) vuông vức nhà cấp 4 Trường Chinh, Tân Bình","Quận Tân Bình, TPHCM",17 tỷ,4 PN,5 WC,90 m2,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/hem-oto-131m2-8x17m-vuong-vuc-nha-cap-4-truong-chinh-tan-binh-id22570609,2024-06-03
"Biệt thự An Phú Quận 2. Căn rẻ nhất trong khu vực còn sót lại 32,9 tỷ","Quận 2 (TP. Thủ Đức), TPHCM",32 tỷ 900 triệu,3 PN,2 WC,80 m2,https://mogi.vn/quan-2/mua-nha-biet-thu-lien-ke/biet-thu-an-phu-quan-2-can-re-nhat-trong-khu-vuc-con-sot-lai-32-9-ty-id22570600,2024-06-03
Bán khách sạn MT Quận Gò Vấp 7 lầu (5m x 27m) lợi nhuận 10%/năm,"Quận Gò Vấp, TPHCM",25 tỷ,2 PN,2 WC,71 m2,https://mogi.vn/quan-go-vap/mua-nha-mat-tien-pho/ban-khach-san-mt-quan-go-vap-7-lau-5m-x-27m-loi-nhuan-10-nam-id22570607,2024-06-03
"Nhà MT đường Lý Tự Trọng, Bến Thành, Q1. DT: 4,1x23. DTCN: 95m2. 80 tỷ","Quận 1, TPHCM",80 tỷ,3 PN,3 WC,102 m2,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/nha-mt-duong-ly-tu-trong-ben-thanh-q1-dt-4-1x23-dtcn-95m2-80-ty-id22570584,2024-06-03
"Bán nhà mặt tiền hẻm rẻ đẹp (3,8x25) Hẻm 499/ Quang Trung P10 Gò Vấp","Quận Gò Vấp, TPHCM",7 tỷ 200 triệu,3 PN,3 WC,84 m2,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/ban-nha-mat-tien-hem-re-dep-3-8x25-hem-499-quang-trung-p10-go-vap-id22569761,2024-06-03
"Siêu Phẩm Hẻm Xe Hơi💦Đường Số 44💦Phan Huy ích 5 Lầu-5pn💦7,5 tỷ","Quận Gò Vấp, TPHCM",7 tỷ 300 triệu,7 PN,7 WC,60 m2,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/sieu-pham-hem-xe-hoi-duong-so-44-phan-huy-ich-5-lau-5pn-7-5-ty-id22569521,2024-06-03
Bán nhà rẻ (4x10) 499/6/68 Quang Trung P10 Gò Vấp (Bệnh viện Hồng Đức),"Quận Gò Vấp, TPHCM",3 tỷ 850 triệu,3 PN,3 WC,82 m2,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/ban-nha-re-4x10-499-6-68-quang-trung-p10-go-vap-benh-vien-hong-duc-id22569766,2024-06-03
"Mặt tiền đường số 2 Tăng Nhơn Phú B, 120m2, chỉ 8.5 tỷ thương lượng.","Quận 9 (TP. Thủ Đức), TPHCM",8 tỷ 500 triệu,4 PN,4 WC,40 m2,https://mogi.vn/quan-9/mua-nha-mat-tien-pho/mat-tien-duong-so-2-tang-nhon-phu-b-120m2-chi-8-5-ty-thuong-luong-id22569832,2024-06-03
"NGUYỄN TƯ GIẢN, F 12, GÒ VẤP- Đường nhựa 10m KD ĐỈNH 92M2 chỉ 8 tỷ TL","Quận Gò Vấp, TPHCM",8 tỷ,6 PN,7 WC,208 m2,https://mogi.vn/quan-go-vap/mua-nha-mat-tien-pho/nguyen-tu-gian-f-12-go-vap-duong-nhua-10m-kd-dinh-92m2-chi-8-ty-tl-id22570578,2024-06-03
"Bán nhà HXH 1 trục Đình Phong Phú, Tăng Nhơn Phú B, 61m2.","Quận 9 (TP. Thủ Đức), TPHCM",8 tỷ,2 PN,2 WC,52 m2,https://mogi.vn/quan-9/mua-nha-hem-ngo/ban-nha-hxh-1-truc-dinh-phong-phu-tang-nhon-phu-b-61m2-id22569910,2024-06-03
"Mặt tiền kinh doanh Dương Đình Hội, TNPB, 126m2.","Quận 9 (TP. Thủ Đức), TPHCM",12 tỷ 500 triệu,3 PN,4 WC,36 m2,https://mogi.vn/quan-9/mua-nha-mat-tien-pho/mat-tien-kinh-doanh-duong-dinh-hoi-tnpb-126m2-id22569912,2024-06-03
NHÀ XƯỞNG VUÔNG VỨC mặt tiền nhựa 10m hẻm Phan Văn Hớn ( dt 12x23m ),"Huyện Hóc Môn, TPHCM",9 tỷ 800 triệu,6 PN,7 WC,4685 m2,https://mogi.vn/huyen-hoc-mon/mua-nha-hem-ngo/nha-xuong-vuong-vuc-mat-tien-nhua-10m-hem-phan-van-hon-dt-12x23m-id21690593,2024-06-03
