name,district,price,bedroom,wc,acreage,link,date
"MẶT TIỀN SÂN BAY TRƯỜNG SƠN, 12 Tầng Cho Thuê gần 5 TỶ / 1 NĂM","Quận Tân Bình, TPHCM",92 tỷ,6 PN,5 WC,76 m2,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/ma-t-tie-n-san-bay-truo-ng-son-12-ta-ng-cho-thue-ga-n-5-ty-1-nam-id22424019,2024-05-08
"Chủ ngộp Bán gấp Căn Mặt Tiền 4 tầng, Khu Bán Đảo Kim Cương, 16 tỷ","Quận 2 (TP. Thủ Đức), TPHCM",16 tỷ,4 PN,2 WC,868 m2,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/chu-ngop-ban-gap-can-mat-tien-4-tang-khu-ban-dao-kim-cuong-16-ty-id22537059,2024-05-08
"Bán Căn MT 4 Tầng, Thang Máy, Bể Bơi, Siêu đẹp, gần UBND Q2, 19,8 tỷ","Quận 2 (TP. Thủ Đức), TPHCM",19 tỷ 800 triệu,3 PN,2 WC,215 m2,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/ban-can-mt-4-tang-thang-may-be-boi-sieu-dep-gan-ubnd-q2-19-8-ty-id22537104,2024-05-08
"Bán Biệt Thự Khu Thời Báo Kinh Tế, hầm 5 tầng, giá chỉ 35 tỷ","Quận 2 (TP. Thủ Đức), TPHCM",35 tỷ,5 PN,5 WC,149 m2,https://mogi.vn/quan-2/mua-nha-biet-thu-lien-ke/ban-biet-thu-khu-thoi-bao-kinh-te-ham-5-tang-gia-chi-35-ty-id22537120,2024-05-08
"Bán tòa nhà khách sạn Mt Thủ Khoa Huân, Bến Thành Q.1, H+10tầng,60 Phò","Quận 1, TPHCM",220 tỷ,7 PN,5 WC,49 m2,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-toa-nha-khach-san-mt-thu-khoa-huan-ben-thanh-q-1-h-10tang-60-pho-id22553467,2024-05-08
"Bán tòa CHDV 94 phòng, đang kinh doanh, ngay Tân Phú, Q7, giá 150 tỷ","Quận 7, TPHCM",150 tỷ,4 PN,2 WC,125 m2,https://mogi.vn/quan-7/mua-nha-mat-tien-pho/ban-toa-chdv-94-phong-dang-kinh-doanh-ngay-tan-phu-q7-gia-150-ty-id22549369,2024-05-08
"LÊ VĂN QUỚI GIÁP TÂN PHÚ, HẺM XE TẢI, 4m x 12m + 3 tầng+ 3 pn, sổ A4","Quận Bình Tân, TPHCM",4 tỷ 490 triệu,2 PN,2 WC,400 m2,https://mogi.vn/quan-binh-tan/mua-nha-hem-ngo/le-van-quoi-giap-tan-phu-hem-xe-tai-4m-x-12m-3-tang-3-pn-so-a4-id22553868,2024-05-08
Mặt Tiền Lý Chính Thắng Giáp mí Nam kì Khởinghĩa Dt 12 x 23m Chỉ 120Tỷ,"Quận 3, TPHCM",120 tỷ,4 PN,2 WC,101 m2,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/mat-tien-ly-chinh-thang-giap-mi-nam-ki-khoinghia-dt-12-x-23m-chi-120ty-id22553751,2024-05-08
"Vip, Chỉ 1 Căn, MT Hoàng Dư Khương DT 8x16 x7 Tầng Kinh Doanh Đỉnh","Quận 10, TPHCM",59 tỷ,6 PN,4 WC,95 m2,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/vip-chi-1-can-mt-hoang-du-khuong-dt-8x16-x7-tang-kinh-doanh-dinh-id22551512,2024-05-08
"Nguyễn sỹ sách hẻm 6m dt 68m2 ngang 4,5m mà chỉ có hơn 4 tỷ","Quận Tân Bình, TPHCM",4 tỷ 800 triệu,4 PN,4 WC,60 m2,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/nguyen-sy-sach-hem-6m-dt-68m2-ngang-4-5m-ma-chi-co-hon-4-ty-id22344205,2024-05-08
"GẤP BÁN,LẠC LONG QUÂN GẦN, 30M ra Mặt Tiền ,DT 50M2 X3 Tầng Chỉ 5,2 tỷ","Quận Tân Bình, TPHCM",5 tỷ 200 triệu,5 PN,4 WC,110 m2,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/gap-ban-lac-long-quan-gan-30m-ra-mat-tien-dt-50m2-x3-tang-chi-5-2-ty-id22550973,2024-05-08
"Sát Mặt Tiền, SƯ VẠN HẠNH, Nhà Mới Đẹp 5 Tầng  , 4PNDT38M2 CHỈ 6,2 TỶ","Quận 10, TPHCM",6 tỷ 200 triệu,3 PN,2 WC,68 m2,https://mogi.vn/quan-10/mua-nha-hem-ngo/sat-mat-tien-su-van-hanh-nha-moi-dep-5-tang-4pndt38m2-chi-6-2-ty-id22550968,2024-05-08
SIÊU HOT Bán tòa Khách sạn khu ĐỆ NHẤT - Tân Bình,"Quận Tân Bình, TPHCM",50 tỷ,4 PN,4 WC,60 m2,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/sieu-hot-ban-toa-khach-san-khu-de-nhat-tan-binh-id22553483,2024-05-08
Bán nhà HXH đường Lộ Tẻ - chợ Bà Hom mới 86m²( 5 x 17 ) 3Tầng BTCT 4PN,"Quận Bình Tân, TPHCM",5 tỷ 950 triệu,5 PN,5 WC,96 m2,https://mogi.vn/quan-binh-tan/mua-nha-hem-ngo/ban-nha-hxh-duong-lo-te-cho-ba-hom-moi-86m-5-x-17-3tang-btct-4pn-id22553798,2024-05-08
"Gấp bán nhà HXH đường Tỉnh Lộ 10, 127m² 3 Tầng 4PN có dòng tiền","Quận Bình Tân, TPHCM",6 tỷ 800 triệu,4 PN,4 WC,90 m2,https://mogi.vn/quan-binh-tan/mua-nha-hem-ngo/gap-ban-nha-hxh-duong-tinh-lo-10-127m-3-tang-4pn-co-dong-tien-id22553800,2024-05-08
Giảm gần 2 tỷ. HXH 6m thông Lê Văn Quới 90m2 ( 5 x 18  ) tặng nội thất,"Quận Bình Tân, TPHCM",8 tỷ 700 triệu,14 PN,14 WC,296 m2,https://mogi.vn/quan-binh-tan/mua-nha-hem-ngo/giam-gan-2-ty-hxh-6m-thong-le-van-quoi-90m2-5-x-18-tang-noi-that-id22553804,2024-05-08
"Nhà giá rẻ, Hẻm 276 Mã Lò, HXH thông 64m² ( 4 x 16 ) 4 Tầng BTCT 6PN","Quận Bình Tân, TPHCM",5 tỷ 200 triệu,10 PN,10 WC,145 m2,https://mogi.vn/quan-binh-tan/mua-nha-hem-ngo/nha-gia-re-hem-276-ma-lo-hxh-thong-64m-4-x-16-4-tang-btct-6pn-id22553807,2024-05-08
Biệt thự 250m2 ( 10 x 25 ) 2 Tầng BTCT 6PN gần Tân Phú Quận 6 giá TLCC,"Quận Bình Tân, TPHCM",18 tỷ,5 PN,5 WC,80 m2,https://mogi.vn/quan-binh-tan/mua-nha-hem-ngo/biet-thu-250m2-10-x-25-2-tang-btct-6pn-gan-tan-phu-quan-6-gia-tlcc-id22553809,2024-05-08
"Bán Nhà Xưởng Mã Lò 216m² ( 8 x 27 ) 4 Tầng BTCT, thu nhập 30tr/Tháng","Quận Bình Tân, TPHCM",14 tỷ 500 triệu,4 PN,3 WC,145 m2,https://mogi.vn/quan-binh-tan/mua-nha-hem-ngo/ban-nha-xuong-ma-lo-216m-8-x-27-4-tang-btct-thu-nhap-30tr-thang-id22553814,2024-05-08
"Bán kho xưởng đường Hương Lộ 2, 1100m² ( 16m x 54m ), sẵn kết cấu kho","Quận Bình Tân, TPHCM",76 tỷ,5 PN,4 WC,112 m2,https://mogi.vn/quan-binh-tan/mua-nha-mat-tien-pho/ban-kho-xuong-duong-huong-lo-2-1100m-16m-x-54m-san-ket-cau-kho-id22553816,2024-05-08
"Dòng tiền 300 triệu, Bán HOTEL khu Tên Lửa 7 tầng có thang máy","Quận Bình Tân, TPHCM",22 tỷ,3 PN,2 WC,167 m2,https://mogi.vn/quan-binh-tan/mua-nha-mat-tien-pho/dong-tien-300-trieu-ban-hotel-khu-ten-lua-7-tang-co-thang-may-id22553819,2024-05-08
Biệt thự vườn Tên Lửa 190m2 ( 10 x 19 ) 3 Tầng BTCT 6PN đỉnh công năng,"Quận Bình Tân, TPHCM",25 tỷ,5 PN,4 WC,144 m2,https://mogi.vn/quan-binh-tan/mua-nha-biet-thu-lien-ke/biet-thu-vuon-ten-lua-190m2-10-x-19-3-tang-btct-6pn-dinh-cong-nang-id22553822,2024-05-08
Giảm mạnh! Nhà mặt tiền khu Tên Lửa 100m2 ( 5x20 ) 3 Tầng BTCT 4PN,"Quận Bình Tân, TPHCM",9 tỷ 100 triệu,24 PN,24 WC,102 m2,https://mogi.vn/quan-binh-tan/mua-nha-mat-tien-pho/giam-manh-nha-mat-tien-khu-ten-lua-100m2-5x20-3-tang-btct-4pn-id22553824,2024-05-08
"Bán kho xưởng đường Hương Lộ 2 229m² ( 12 x 22 ) , Hẻm Xe Tải","Quận Bình Tân, TPHCM",11 tỷ 500 triệu,5 PN,5 WC,70 m2,https://mogi.vn/quan-binh-tan/mua-nha-hem-ngo/ban-kho-xuong-duong-huong-lo-2-229m-12-x-22-hem-xe-tai-id22553826,2024-05-08
