name,district,price,bedroom,wc,acreage,link,date
"bán gấp Nhà Mới đẹp, HXH đỗ cửa Lê Văn Duyệt P.1 BT 19m2 , 2PN, 3 tỷ6","Quận Bình Thạnh, TPHCM",3 tỷ 600 triệu,2 PN,2 WC,19 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/ban-gap-nha-moi-dep-hxh-do-cua-le-van-duyet-p-1-bt-19m2-2pn-3-ty6-id22561491,2024-05-20
Nhà đẹp hẻm xe hơi - hoàn công đủ - Tân Mỹ Quận 7 - 45m2 - 7.2 tỷ TL,"Quận 7, TPHCM",7 tỷ 200 triệu,2 PN,2 WC,45 m2,https://mogi.vn/quan-7/mua-nha-hem-ngo/nha-dep-hem-xe-hoi-hoan-cong-du-tan-my-quan-7-45m2-7-2-ty-tl-id22561114,2024-05-20
Ngang gần 6m hoàn công đủ. Tùng Thiện Vương - 35m2. Giá 5.1 tỷ Tl,"Quận 8, TPHCM",5 tỷ 100 triệu,3 PN,3 WC,35 m2,https://mogi.vn/quan-8/mua-nha-hem-ngo/ngang-gan-6m-hoan-cong-du-tung-thien-vuong-35m2-gia-5-1-ty-tl-id22560439,2024-05-20
ĐỘC LẠ  4 TẦNG CÁCH MẶT TIỀN 30M - Bình Thạnh 55 M2 Chỉ hơn 7 Tỷ,"Quận Bình Thạnh, TPHCM",7 tỷ,3 PN,4 WC,55 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/doc-la-4-tang-cach-mat-tien-30m-binh-thanh-55-m2-chi-hon-7-ty-id22561346,2024-05-20
"Biệt Thự 306m khu Bên Sông Phạm Văn Đồng quận Thủ Đức, bán gấp 21,5 tỷ","Quận Thủ Đức (TP. Thủ Đức), TPHCM",21 tỷ 500 triệu,5 PN,6 WC,306 m2,https://mogi.vn/quan-thu-duc/mua-nha-biet-thu-lien-ke/biet-thu-306m-khu-ben-song-pham-van-dong-quan-thu-duc-ban-gap-21-5-ty-id22561913,2024-05-20
Hẻm xe hơi ngang 5 mét nở hậu - Huỳnh Tấn Phát quận 7 - 105m2 - 7.2 tỷ,"Quận 7, TPHCM",7 tỷ 200 triệu,3 PN,2 WC,105 m2,https://mogi.vn/quan-7/mua-nha-hem-ngo/hem-xe-hoi-ngang-5-met-no-hau-huynh-tan-phat-quan-7-105m2-7-2-ty-id22561124,2024-05-20
NHÀ ĐẸP-hẻm xe hơi 80 m2 3 Tầng BTCT Gần nơ Trang Long ChỈ 8 Tỷ QBT,"Quận Bình Thạnh, TPHCM",8 tỷ,4 PN,4 WC,80 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/nha-dep-hem-xe-hoi-80-m2-3-tang-btct-gan-no-trang-long-chi-8-ty-qbt-id22561986,2024-05-20
Khu Kiều Đàm hẻm xe hơi - 56m2 hoàn công đủ. Giá 5.3 tỷ thương lượng,"Quận 7, TPHCM",5 tỷ 300 triệu,3 PN,2 WC,56 m2,https://mogi.vn/quan-7/mua-nha-hem-ngo/khu-kieu-dam-hem-xe-hoi-56m2-hoan-cong-du-gia-5-3-ty-thuong-luong-id22561772,2024-05-20
Hẻm xe hơi tránh nhau - sổ nở hậu - Dương Bá Trạc  32m2 - 4.8 tỷ,"Quận 8, TPHCM",4 tỷ 800 triệu,3 PN,4 WC,32 m2,https://mogi.vn/quan-8/mua-nha-hem-ngo/hem-xe-hoi-tranh-nhau-so-no-hau-duong-ba-trac-32m2-4-8-ty-id22561778,2024-05-20
Nhà mới 100% hoàn công đủ - nở hậu. Võ Trứ quận 8 - 44m2. Giá 4.7 tỷ,"Quận 8, TPHCM",4 tỷ 700 triệu,3 PN,3 WC,45 m2,https://mogi.vn/quan-8/mua-nha-hem-ngo/nha-moi-100-hoan-cong-du-no-hau-vo-tru-quan-8-44m2-gia-4-7-ty-id22562161,2024-05-20
"Bán gấp 6 phòng trọ,dt 105m2,bình chiểu,thủ đức,giá 4 tỷ 250 triệu,TL","Quận Thủ Đức (TP. Thủ Đức), TPHCM",4 tỷ 250 triệu,6 PN,6 WC,105 m2,https://mogi.vn/quan-thu-duc/mua-nha-mat-tien-pho/ban-gap-6-phong-tro-dt-105m2-binh-chieu-thu-duc-gia-4-ty-250-trieu-tl-id22561229,2024-05-20
