id,area_used,area,bedroom,wc,juridical,latitude,longitude,seniority,witdh,length,no_hospital_1km,no_school_1km,no_cafe_1km,no_restaurant_1km,no_atm_1km,no_bank_1km,no_supermarket_1km,no_marketplace_1km,no_pharmacy_1km,no_fuel_1km,address_district,address_ward,address_street,price(billionVND)
21570535,90.0,90.0,2.0,2.0,Sổ hồng,10.839486125,106.79618454,2190.0,5.0,18.0,1.0,3.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0, Quận 9 (TP. Thủ Đức), Phường Tăng Nhơn Phú A, Làng Tăng Phú,13.5
22465369,1.0,1.0,1.0,1.0,Sổ hồng,10.769029615,106.78537368499995,515.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0, Quận 2 (TP. Thủ Đức), Phường Cát Lái, Đường số 28,9.0
22508693,54.0,54.0,2.0,2.0,Sổ hồng,10.84850788,106.82007598999996,2190.0,4.15,13.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0, Quận 9 (TP. Thủ Đức), Phường Long Thạnh Mỹ, Nguyễn Xiển,3.9
21977759,1.0,1.0,5.0,7.0,Sổ hồng,10.783041475,106.75634003000005,515.0,1.0,1.0,0.0,7.0,5.0,3.0,4.0,0.0,0.0,1.0,2.0,1.0, Quận 2 (TP. Thủ Đức), Phường Bình Trưng Tây, Đường số 23,7.5
22472185,98.0,98.0,4.0,3.0,Sổ hồng,10.84685469,106.74584198000002,2190.0,4.0,24.5,0.0,4.0,5.0,0.0,2.0,0.0,0.0,2.0,2.0,5.0, Quận Thủ Đức (TP. Thủ Đức), Phường Linh Đông, Kha Vạn Cân,13.5
21982712,1.0,1.0,4.0,5.0,Sổ hồng,10.762645725,106.76771927000004,515.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0, Quận 2 (TP. Thủ Đức), Phường Thạnh Mỹ Lợi, Đường số 11,27.0
22512099,300.0,184.0,4.0,4.0,Sổ hồng,10.83204937,106.7570343,2190.0,4.8,39.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0, Quận Thủ Đức (TP. Thủ Đức), Phường Trường Thọ, Đường số 8,10.9
21983211,1.0,1.0,8.0,10.0,Sổ hồng,10.784618855,106.77885055499996,515.0,1.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0, Quận 2 (TP. Thủ Đức), Phường Bình Trưng Đông, Đường số 23,19.6
22450018,56.0,56.0,4.0,4.0,Sổ hồng,10.82986641,106.78774261499996,2190.0,4.0,14.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0, Quận 9 (TP. Thủ Đức), Phường Tăng Nhơn Phú B, Đình Phong Phú,6.0
22303626,461.0,461.0,5.0,5.0,Sổ hồng,10.783041475,106.75634003000005,2190.0,13.5,34.0,0.0,7.0,5.0,3.0,4.0,0.0,0.0,1.0,2.0,1.0, Quận 2 (TP. Thủ Đức), Phường Bình Trưng Tây, Nguyễn Duy Trinh,66.0
